forecast_date,target_date,forecast_1day,forecast_5day,actual_1day,actual_5day
2025-05-09,2025-05-13,22.336342390792243,22.129902653176913,22.37,22.01
2025-05-10,2025-05-14,22.336342390792243,22.129902653176913,22.26,22.68
2025-05-11,2025-05-15,22.336342390792243,22.129902653176913,23.27,23.53
2025-05-12,2025-05-16,22.336342390792243,22.129902653176913,22.91,22.71
2025-05-13,2025-05-17,22.336342390792243,22.129902653176913,22.01,23.35
2025-05-14,2025-05-18,22.336342390792243,22.129902653176913,22.68,21.87
2025-05-15,2025-05-19,22.336342390792243,22.129902653176913,23.53,22.77
2025-05-16,2025-05-20,22.336342390792243,22.129902653176913,22.71,24.23
2025-05-17,2025-05-21,22.336342390792243,22.129902653176913,23.35,23.06
2025-05-18,2025-05-22,22.336342390792243,22.129902653176913,21.87,23.46
2025-05-19,2025-05-23,22.336342390792243,22.129902653176913,22.77,22.88
2025-05-20,2025-05-24,22.318787495443406,22.15415959515498,24.23,19.75
2025-05-21,2025-05-25,22.318787495443406,22.15415959515498,23.06,23.14
2025-05-22,2025-05-26,22.318787495443406,22.15415959515498,23.46,21.9
2025-05-23,2025-05-27,22.318787495443406,22.15415959515498,22.88,22.22
2025-05-24,2025-05-28,22.318787495443406,22.15415959515498,19.75,22.22
2025-05-25,2025-05-29,22.318787495443406,22.15415959515498,23.14,22.22
2025-05-26,2025-05-30,22.318787495443406,22.15415959515498,21.9,22.22
2025-05-27,2025-05-31,22.318787495443406,22.15415959515498,22.22,23.32
2025-05-28,2025-06-01,22.318787495443406,22.15415959515498,22.22,21.83
2025-05-29,2025-06-02,22.318787495443406,22.15415959515498,22.22,20.22
2025-05-30,2025-06-03,22.318787495443406,22.15415959515498,22.22,20.22
2025-05-31,2025-06-04,22.318787495443406,22.15415959515498,23.32,20.22
2025-06-01,2025-06-05,22.318787495443406,22.15415959515498,21.83,20.22
2025-06-02,2025-06-06,22.318787495443406,22.15415959515498,20.22,20.22
2025-06-03,2025-06-11,22.318787495443406,22.15415959515498,20.22,21.34
2025-06-04,2025-06-12,22.318787495443406,22.15415959515498,20.22,21.95
2025-06-05,2025-06-13,22.318787495443406,22.15415959515498,20.22,22.95
2025-06-06,2025-06-14,22.318787495443406,22.15415959515498,20.22,23.08
