forecast_date,target_date,forecast_1day,forecast_5day,actual_1day,actual_5day
2025-08-06,2025-08-10,15.178908070134023,15.316730255395983,13.88,15.4
2025-08-07,2025-08-11,15.178908070134023,15.316730255395983,15.16,15.45
2025-08-08,2025-08-12,15.178908070134023,15.316730255395983,15.75,15.07
2025-08-09,2025-08-13,15.178908070134023,15.316730255395983,15.88,15.76
2025-08-10,2025-08-14,15.178908070134023,15.316730255395983,15.4,15.04
2025-08-11,2025-08-15,15.178908070134023,15.316730255395983,15.45,14.63
2025-08-12,2025-08-16,15.468413299675575,15.530585725653953,15.07,15.48
2025-08-13,2025-08-17,15.468413299675575,15.530585725653953,15.76,15.0
2025-08-14,2025-08-18,15.468413299675575,15.530585725653953,15.04,15.36
2025-08-15,2025-08-19,15.468413299675575,15.530585725653953,14.63,15.43
2025-08-16,2025-08-20,15.468413299675575,15.530585725653953,15.48,15.32
2025-08-17,2025-08-21,15.468413299675575,15.530585725653953,15.0,15.13
2025-08-18,2025-08-22,15.468413299675575,15.530585725653953,15.36,16.29
2025-08-19,2025-08-23,15.468413299675575,15.530585725653953,15.43,15.5
2025-08-20,2025-08-24,15.468413299675575,15.530585725653953,15.32,15.49
2025-08-21,2025-08-25,15.468413299675575,15.530585725653953,15.13,16.39
2025-08-22,2025-08-26,15.468413299675575,15.530585725653953,16.29,15.38
2025-08-23,2025-08-27,15.468413299675575,15.530585725653953,15.5,16.4
2025-08-24,2025-08-28,15.468413299675575,15.530585725653953,15.49,16.26
2025-08-25,2025-08-29,15.468413299675575,15.530585725653953,16.39,15.07
2025-08-26,2025-08-30,15.468413299675575,15.530585725653953,15.38,15.34
2025-08-27,2025-08-31,15.468413299675575,15.530585725653953,16.4,14.79
2025-08-28,2025-09-01,15.468413299675575,15.530585725653953,16.26,15.19
2025-08-29,2025-09-02,15.468413299675575,15.530585725653953,15.07,15.77
2025-08-30,2025-09-03,15.468413299675575,15.530585725653953,15.34,16.14
2025-08-31,2025-09-04,15.468413299675575,15.530585725653953,14.79,15.92
2025-09-01,2025-09-05,15.233086762326112,15.418544238554858,15.19,15.13
2025-09-02,2025-09-06,15.233086762326112,15.418544238554858,15.77,15.54
2025-09-03,2025-09-07,15.233086762326112,15.418544238554858,16.14,15.2
2025-09-04,2025-09-08,15.233086762326112,15.418544238554858,15.92,15.7
2025-09-05,2025-09-09,15.233086762326112,15.418544238554858,15.13,16.17
2025-09-06,2025-09-10,15.233086762326112,15.418544238554858,15.54,15.42
2025-09-07,2025-09-11,15.233086762326112,15.418544238554858,15.2,15.75
2025-09-08,2025-09-12,15.233086762326112,15.418544238554858,15.7,15.28
2025-09-09,2025-09-13,15.233086762326112,15.418544238554858,16.17,15.61
2025-09-10,2025-09-14,15.233086762326112,15.418544238554858,15.42,15.43
2025-09-11,2025-09-15,15.233086762326112,15.418544238554858,15.75,16.02
2025-09-12,2025-09-16,15.233086762326112,15.418544238554858,15.28,16.07
2025-09-13,2025-09-17,15.233086762326112,15.418544238554858,15.61,15.91
2025-09-14,2025-09-18,15.233086762326112,15.418544238554858,15.43,15.84
2025-09-15,2025-09-19,15.233086762326112,15.418544238554858,16.02,16.14
2025-09-16,2025-09-20,15.233086762326112,15.418544238554858,16.07,16.01
2025-09-17,2025-09-21,15.233086762326112,15.418544238554858,15.91,15.9
2025-09-18,2025-09-22,15.233086762326112,15.418544238554858,15.84,15.51
2025-09-19,2025-09-23,15.233086762326112,15.418544238554858,16.14,15.15
2025-09-20,2025-09-24,15.233086762326112,15.418544238554858,16.01,15.52
2025-09-21,2025-09-25,15.942528391988741,15.87999753500547,15.9,15.52
2025-09-22,2025-09-26,15.942528391988741,15.87999753500547,15.51,15.01
2025-09-23,2025-09-27,15.942528391988741,15.87999753500547,15.15,15.43
2025-09-24,2025-09-28,15.942528391988741,15.87999753500547,15.52,15.52
2025-09-25,2025-09-29,15.942528391988741,15.87999753500547,15.52,16.37
2025-09-26,2025-09-30,15.942528391988741,15.87999753500547,15.01,15.13
2025-09-27,2025-10-01,15.942528391988741,15.87999753500547,15.43,16.31
2025-09-28,2025-10-02,15.942528391988741,15.87999753500547,15.52,15.31
2025-09-29,2025-10-03,15.942528391988741,15.87999753500547,16.37,14.8
2025-09-30,2025-10-04,15.942528391988741,15.87999753500547,15.13,16.17
2025-10-01,2025-10-05,15.942528391988741,15.87999753500547,16.31,15.22
2025-10-02,2025-10-06,15.942528391988741,15.87999753500547,15.31,15.17
2025-10-03,2025-10-07,15.942528391988741,15.87999753500547,14.8,15.44
2025-10-04,2025-10-08,15.942528391988741,15.87999753500547,16.17,16.26
2025-10-05,2025-10-09,15.942528391988741,15.87999753500547,15.22,15.46
2025-10-06,2025-10-10,15.942528391988741,15.87999753500547,15.17,16.03
2025-10-07,2025-10-11,15.942528391988741,15.87999753500547,15.44,16.02
2025-10-08,2025-10-12,15.942528391988741,15.87999753500547,16.26,15.83
2025-10-09,2025-10-13,15.942528391988741,15.87999753500547,15.46,15.66
2025-10-10,2025-10-14,15.942528391988741,15.87999753500547,16.03,16.5
2025-10-11,2025-10-15,15.822920873638537,15.76537054318919,16.02,15.54
2025-10-12,2025-10-16,15.822920873638537,15.76537054318919,15.83,15.45
