forecast_date,target_date,forecast_1day,forecast_5day,actual_1day,actual_5day
2025-05-17,2025-05-21,147.05784746319813,146.2211124144553,143.89,148.25
2025-05-18,2025-05-22,147.05784746319813,146.2211124144553,146.42,149.72
2025-05-19,2025-05-23,147.05784746319813,146.2211124144553,146.57,148.81
2025-05-20,2025-05-24,145.49939171395025,145.00712604226112,149.74,149.6
2025-05-21,2025-05-25,145.49939171395025,145.00712604226112,148.25,148.69
2025-05-22,2025-05-26,145.49939171395025,145.00712604226112,149.72,152.6
2025-05-23,2025-05-27,145.49939171395025,145.00712604226112,148.81,145.37
2025-05-24,2025-05-28,145.49939171395025,145.00712604226112,149.6,145.37
2025-05-25,2025-05-29,145.49939171395025,145.00712604226112,148.69,145.37
2025-05-26,2025-05-30,145.49939171395025,145.00712604226112,152.6,145.37
2025-05-27,2025-05-31,145.49939171395025,145.00712604226112,145.37,145.78
2025-05-28,2025-06-01,145.49939171395025,145.00712604226112,145.37,148.85
2025-05-29,2025-06-02,145.49939171395025,145.00712604226112,145.37,147.62
2025-05-30,2025-06-03,145.49939171395025,145.00712604226112,145.37,147.62
2025-05-31,2025-06-04,145.49939171395025,145.00712604226112,145.78,147.62
2025-06-01,2025-06-05,145.49939171395025,145.00712604226112,148.85,147.62
2025-06-02,2025-06-06,145.49939171395025,145.00712604226112,147.62,147.62
2025-06-03,2025-06-11,145.49939171395025,145.00712604226112,147.62,142.56
2025-06-04,2025-06-12,145.49939171395025,145.00712604226112,147.62,142.58
2025-06-05,2025-06-13,145.49939171395025,145.00712604226112,147.62,150.45
2025-06-06,2025-06-14,145.49939171395025,145.00712604226112,147.62,145.49
2025-06-11,2025-06-15,145.49939171395025,145.00712604226112,142.56,150.08
2025-06-12,2025-06-16,145.49939171395025,145.00712604226112,142.58,148.27
2025-06-13,2025-06-17,144.68166284601506,144.36737715789172,150.45,145.09
2025-06-14,2025-06-18,144.68166284601506,144.36737715789172,145.49,146.19
2025-06-15,2025-06-19,144.68166284601506,144.36737715789172,150.08,146.92
2025-06-16,2025-06-20,144.68166284601506,144.36737715789172,148.27,148.17
2025-06-17,2025-06-21,144.68166284601506,144.36737715789172,145.09,143.54
2025-06-18,2025-06-22,144.68166284601506,144.36737715789172,146.19,148.26
2025-06-19,2025-06-23,144.68166284601506,144.36737715789172,146.92,145.43
2025-06-20,2025-06-24,144.68166284601506,144.36737715789172,148.17,145.42
2025-06-21,2025-06-25,144.68166284601506,144.36737715789172,143.54,142.63
2025-06-22,2025-06-26,144.68166284601506,144.36737715789172,148.26,142.97
2025-06-23,2025-06-27,144.68166284601506,144.36737715789172,145.43,147.85
2025-06-24,2025-06-28,144.68166284601506,144.36737715789172,145.42,147.63
2025-06-25,2025-06-29,144.68166284601506,144.36737715789172,142.63,141.26
2025-06-26,2025-06-30,144.68166284601506,144.36737715789172,142.97,149.57
2025-06-27,2025-07-01,144.68166284601506,144.36737715789172,147.85,144.4
2025-06-28,2025-07-02,144.68166284601506,144.36737715789172,147.63,146.03
2025-06-29,2025-07-03,144.68166284601506,144.36737715789172,141.26,151.24
2025-06-30,2025-07-04,144.68166284601506,144.36737715789172,149.57,151.15
2025-07-01,2025-07-05,144.68166284601506,144.36737715789172,144.4,147.49
2025-07-02,2025-07-06,144.68166284601506,144.36737715789172,146.03,147.42
2025-07-03,2025-07-07,145.2778586307766,144.87698130980024,151.24,142.8
2025-07-04,2025-07-08,145.2778586307766,144.87698130980024,151.15,147.7
2025-07-05,2025-07-09,145.2778586307766,144.87698130980024,147.49,147.7
2025-07-06,2025-07-10,145.2778586307766,144.87698130980024,147.42,146.32
2025-07-07,2025-07-11,145.2778586307766,144.87698130980024,142.8,144.32
2025-07-08,2025-07-12,145.2778586307766,144.87698130980024,147.7,145.63
2025-07-09,2025-07-13,145.2778586307766,144.87698130980024,147.7,149.77
2025-07-10,2025-07-14,145.2778586307766,144.87698130980024,146.32,146.7
2025-07-11,2025-07-15,145.2778586307766,144.87698130980024,144.32,148.79
2025-07-12,2025-07-16,145.2778586307766,144.87698130980024,145.63,150.44
2025-07-13,2025-07-17,145.2778586307766,144.87698130980024,149.77,144.61
2025-07-14,2025-07-18,145.2778586307766,144.87698130980024,146.7,145.95
2025-07-15,2025-07-19,145.2778586307766,144.87698130980024,148.79,148.91
2025-07-16,2025-07-20,145.2778586307766,144.87698130980024,150.44,143.78
2025-07-17,2025-07-21,145.2778586307766,144.87698130980024,144.61,150.12
2025-07-18,2025-07-22,145.2778586307766,144.87698130980024,145.95,146.9
2025-07-19,2025-07-23,145.2778586307766,144.87698130980024,148.91,149.69
2025-07-20,2025-07-24,145.2778586307766,144.87698130980024,143.78,146.99
2025-07-21,2025-07-25,145.2778586307766,144.87698130980024,150.12,148.03
2025-07-22,2025-07-26,145.2778586307766,144.87698130980024,146.9,144.48
2025-07-23,2025-07-27,146.62389446267187,146.01551422118428,149.69,148.53
2025-07-24,2025-07-28,146.62389446267187,146.01551422118428,146.99,146.77
2025-07-25,2025-07-29,146.62389446267187,146.01551422118428,148.03,147.16
2025-07-26,2025-07-30,146.62389446267187,146.01551422118428,144.48,145.5
2025-07-27,2025-07-31,146.62389446267187,146.01551422118428,148.53,151.88
2025-07-28,2025-08-01,146.62389446267187,146.01551422118428,146.77,146.96
2025-07-29,2025-08-02,146.62389446267187,146.01551422118428,147.16,151.0
2025-07-30,2025-08-03,146.62389446267187,146.01551422118428,145.5,147.48
2025-07-31,2025-08-04,146.62389446267187,146.01551422118428,151.88,146.33
2025-08-01,2025-08-05,146.62389446267187,146.01551422118428,146.96,143.95
2025-08-02,2025-08-06,146.62389446267187,146.01551422118428,151.0,147.54
2025-08-03,2025-08-07,146.62389446267187,146.01551422118428,147.48,143.79
2025-08-04,2025-08-08,146.62389446267187,146.01551422118428,146.33,143.74
2025-08-05,2025-08-09,146.62389446267187,146.01551422118428,143.95,143.15
2025-08-06,2025-08-10,146.62389446267187,146.01551422118428,147.54,144.83
2025-08-07,2025-08-11,146.62389446267187,146.01551422118428,143.79,149.72
2025-08-08,2025-08-12,146.62389446267187,146.01551422118428,143.74,142.73
2025-08-09,2025-08-13,146.62389446267187,146.01551422118428,143.15,147.18
2025-08-10,2025-08-14,146.62389446267187,146.01551422118428,144.83,147.23
2025-08-11,2025-08-15,146.62389446267187,146.01551422118428,149.72,143.18
2025-08-12,2025-08-16,145.69726838859916,145.26937195245773,142.73,148.55
2025-08-13,2025-08-17,145.69726838859916,145.26937195245773,147.18,144.77
